PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,56900,8.667ms,338.368ms,6407.951ms,19253152.866ms,4915.603ms,2145.823ms,104.361ms,880407.979,95.773%
PAYMENT,56526,6.935ms,328.964ms,6359.950ms,18595019.018ms,4901.665ms,2073.497ms,104.996ms,860166.822,92.499%
DELIVERY,5814,17.211ms,355.433ms,6359.516ms,2066487.556ms,4942.674ms,2602.435ms,104.055ms,903245.150,10.280%
SLEV,5532,1.947ms,9.567ms,1037.452ms,52929.840ms,18.156ms,10.680ms,5.784ms,42343.162,0.263%
OSTAT,5692,0.540ms,3.269ms,573.236ms,18608.120ms,3.517ms,1.910ms,1.080ms,28818.817,0.093%
