PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,53518,8.299ms,183.974ms,9371.732ms,9845963.298ms,3135.663ms,371.192ms,88.488ms,524336.711,94.372%
PAYMENT,53424,8.003ms,183.571ms,9371.622ms,9807098.784ms,3215.777ms,365.571ms,93.443ms,523055.402,93.999%
DELIVERY,5314,16.831ms,195.309ms,7221.584ms,1037872.526ms,3604.099ms,380.882ms,93.755ms,537437.312,9.948%
SLEV,5446,1.976ms,9.706ms,1505.299ms,52860.907ms,14.559ms,8.498ms,4.194ms,65202.567,0.507%
OSTAT,5146,0.558ms,4.142ms,1023.425ms,21315.863ms,3.468ms,1.593ms,0.996ms,42404.584,0.204%
