TPM,time
0,0
110406,10
254850,20
331326,30
349320,40
168438,50
317262,60
336306,70
338970,80
348078,90
380916,100
344664,110
344340,120
341472,130
180564,140
252030,150
344826,160
339828,170
341868,180
340860,190
131892,200
93612,210
103200,220
103968,230
107094,240
107736,250
97398,260
110004,270
73242,280
86532,290
104442,300
106608,310
104748,320
106044,330
112806,340
106470,350
111108,360
96570,370
80778,380
87528,390
99468,400
100788,410
96774,420
103788,430
98232,440
100962,450
101280,460
99390,470
107328,480
101400,490
102726,500
102870,510
99696,520
105630,530
97968,540
96300,550
99246,560
52080,570
102492,580
96798,590
80238,600
3612,610
2580,620
3396,630
1440,640
