PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,906472,1.213ms,40.566ms,2418.444ms,36772709.710ms,440.921ms,165.668ms,14.458ms,91618.078,96.837%
PAYMENT,907166,0.593ms,36.871ms,2794.941ms,33448912.214ms,448.363ms,166.369ms,9.050ms,95106.263,88.084%
DELIVERY,90794,1.924ms,49.463ms,2418.213ms,4490945.079ms,456.272ms,172.877ms,22.172ms,93601.714,11.826%
SLEV,90702,1.335ms,9.865ms,572.607ms,894775.751ms,33.012ms,14.825ms,9.750ms,11559.780,2.356%
OSTAT,91082,0.494ms,1.476ms,443.835ms,134519.784ms,3.118ms,1.984ms,1.364ms,2584.786,0.354%
