PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,1785044,0.846ms,2.589ms,1192.628ms,4623020.103ms,3.845ms,3.312ms,2.363ms,5212.892,96.461%
PAYMENT,1788448,0.473ms,1.541ms,1192.635ms,2756445.692ms,2.201ms,1.846ms,1.368ms,4653.516,57.514%
DELIVERY,179644,1.878ms,4.591ms,1192.458ms,824920.423ms,7.592ms,6.038ms,4.227ms,8556.015,17.212%
SLEV,179202,1.259ms,4.162ms,1897.628ms,745863.676ms,21.584ms,12.381ms,2.968ms,14332.992,15.563%
OSTAT,178126,0.303ms,1.051ms,73.041ms,187216.780ms,1.624ms,1.462ms,1.025ms,364.812,3.906%
