PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,1743812,0.697ms,5.375ms,1709.026ms,9374101.453ms,66.999ms,9.617ms,2.883ms,19971.764,98.268%
PAYMENT,1742232,0.294ms,3.881ms,1708.988ms,6762470.978ms,62.442ms,4.058ms,1.632ms,18900.541,70.890%
DELIVERY,173880,1.065ms,8.265ms,1649.242ms,1437140.808ms,81.990ms,18.107ms,5.333ms,20913.622,15.065%
SLEV,174844,1.208ms,5.036ms,108.604ms,880607.737ms,27.102ms,10.377ms,3.761ms,4215.951,9.231%
OSTAT,173744,0.257ms,1.120ms,113.777ms,194627.352ms,1.738ms,1.549ms,1.080ms,1015.353,2.040%
