PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
PAYMENT,68950,8.255ms,135.243ms,4986.297ms,9325057.102ms,1321.310ms,318.429ms,84.352ms,239247.241,96.712%
NEWORD,68880,8.570ms,131.508ms,4986.293ms,9058323.419ms,1321.643ms,293.693ms,78.155ms,251102.596,93.946%
DELIVERY,7182,16.780ms,134.411ms,4985.968ms,965342.084ms,1477.722ms,302.801ms,77.218ms,271152.195,10.012%
SLEV,6952,1.960ms,6.174ms,432.026ms,42926.176ms,10.973ms,8.279ms,4.382ms,19540.501,0.445%
OSTAT,6756,0.440ms,2.014ms,425.449ms,13609.713ms,2.889ms,1.615ms,1.005ms,14822.154,0.141%
