PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
PAYMENT,171374,7.103ms,225.964ms,5449.876ms,38724388.232ms,2055.832ms,1104.314ms,106.657ms,409013.397,101.307%
NEWORD,170058,8.134ms,212.961ms,5305.040ms,36215745.341ms,2079.237ms,1064.158ms,99.694ms,403706.672,94.745%
DELIVERY,17008,10.658ms,206.805ms,5304.252ms,3517354.286ms,1938.057ms,1013.443ms,95.978ms,403839.287,9.202%
SLEV,17260,2.010ms,12.947ms,4744.264ms,223465.889ms,88.492ms,12.414ms,8.427ms,98291.358,0.585%
OSTAT,16804,0.579ms,2.307ms,752.596ms,38775.871ms,4.856ms,2.545ms,1.217ms,14982.971,0.101%
