TPM,time
6,0
16206,10
12060,20
16578,30
12924,40
14478,50
10662,60
12672,70
11880,80
12006,90
10116,100
10782,110
20250,120
20484,130
18264,140
14460,150
12372,160
12432,170
14130,180
11610,190
14796,200
13722,210
13236,220
13410,230
21204,240
18912,250
16914,260
12720,270
10590,280
15090,290
10782,300
13422,310
13314,320
11532,330
12678,340
19170,350
14364,360
18876,370
12246,380
14052,390
15102,400
12246,410
13398,420
11268,430
12138,440
13728,450
17712,460
13284,470
13380,480
12162,490
15726,500
10164,510
13476,520
12804,530
11280,540
11328,550
18810,560
12438,570
16464,580
12120,590
16872,600
11964,610
9150,620
4344,630
1608,640
1692,650
