TPM,time
6,0
9288,10
118278,20
96528,30
46320,40
103572,50
103200,60
93060,70
102456,80
146430,90
164226,100
139134,110
123372,120
164784,130
113136,140
38298,150
152484,160
136536,170
175326,180
114918,190
136398,200
126516,210
153588,220
147258,230
98130,240
137484,250
26598,260
136152,270
142734,280
142296,290
130794,300
130860,310
130584,320
132384,330
146448,340
129192,350
166632,360
40050,370
103758,380
124602,390
162366,400
137994,410
136380,420
135498,430
131604,440
144558,450
145944,460
136236,470
106296,480
60618,490
133542,500
125802,510
127512,520
132318,530
161076,540
120894,550
113010,560
105072,570
85740,580
112032,590
17316,600
108780,610
108090,620
32970,630
